Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,ID
Alan Henderson,1996,2007,F,6’9,235,"December 2, 1972",Indiana,"Alan HendersonDecember 2, 1972"
Alan Ogg,1991,1993,C,7’2,240,July 5 1967,UAB,Alan OggJuly 5 1967
Alan Sawyer,1951,1951,F,6’5,195,"January 1, 1928",UCLA,"Alan SawyerJanuary 1, 1928"
Alan Williams,2016,2019,F-C,6’8,265,"January 28, 1993",UC Santa Barbara,"Alan WilliamsJanuary 28, 1993"
Alando Tucker,2008,2010,F,6’6,205,"February 11, 1984",Wisconsin,"Alando TuckerFebruary 11, 1984"
Albert King,1982,1992,F-G,6’6,190,"December 17, 1959",Maryland,"Albert KingDecember 17, 1959"
Alec Burks,2012,2022,G,6’6,214,July 20 1991,Colorado,Alec BurksJuly 20 1991
Alec Kessler,1991,1994,F-C,6’11,230,"January 13, 1967",Georgia,"Alec KesslerJanuary 13, 1967"
Alec Peters,2018,2018,F,6’9,232,"April 13, 1995",Valparaiso,"Alec PetersApril 13, 1995"
Aleksandar Djordjevic,1997,1997,G,6’2,198,"August 26, 1967",,"Aleksandar DjordjevicAugust 26, 1967"
Aleksandar Radojevi?,2000,2005,C,7’3,250,"August 8, 1976",Barton County Community College,"Aleksandar Radojevi?August 8, 1976"
Aleksej Pokusevski,2021,2022,F,7-0,190,"December 26, 2001",,"Aleksej PokusevskiDecember 26, 2001"
Alen Smailagi?,2020,2021,F,6’10,215,"August 18, 2000",,"Alen Smailagi?August 18, 2000"
Álex Abrines,2017,2019,G-F,6’6,200,"August 1, 1993",,"Álex AbrinesAugust 1, 1993"
Alex Acker,2006,2009,G,6’5,185,"January 21, 1983",Pepperdine,"Alex AckerJanuary 21, 1983"
Alex Blackwell,1993,1993,F,6’6,250,June 27 1970,Monmouth University,Alex BlackwellJune 27 1970
Alex Bradley,1982,1982,F,6’6,215,"October 30, 1959",Villanova,"Alex BradleyOctober 30, 1959"
Alex Caruso,2018,2022,G,6’4,186,"February 28, 1994",Texas A&M,"Alex CarusoFebruary 28, 1994"
Alex English,1977,1991,F,6’7,190,"January 5, 1954",South Carolina,"Alex English*January 5, 1954"
Alex Garcia,2004,2005,G,6’3,220,"March 4, 1980",,"Alex GarciaMarch 4, 1980"
Alex Groza,1950,1951,C,6’7,218,"October 7, 1926",Kentucky,"Alex GrozaOctober 7, 1926"
Alex Hannum,1950,1957,F-C,6’7,210,July 19 1923,USC,Alex Hannum*July 19 1923
Alex Kirk,2015,2015,C,7-0,245,"November 14, 1991",New Mexico,"Alex KirkNovember 14, 1991"
Alex Len,2014,2022,C,7-0,250,June 16 1993,Maryland,Alex LenJune 16 1993
Alex Poythress,2017,2019,F,6’9,235,"September 6, 1993",Kentucky,"Alex PoythressSeptember 6, 1993"
Alex Scales,2006,2006,G,6’4,185,July 3 1978,Oregon,Alex ScalesJuly 3 1978
Alex Stepheson,2016,2016,F,6’10,270,"August 7, 1987",UNC USC,"Alex StephesonAugust 7, 1987"
Alex Stivrins,1986,1993,F,6’8,220,"November 29, 1962",Creighton Colorado,"Alex StivrinsNovember 29, 1962"
Alexander Johnson,2007,2008,F,6’9,240,"February 8, 1983",Florida State,"Alexander JohnsonFebruary 8, 1983"
Alexander Volkov,1990,1992,C,6’10,218,"March 28, 1964",,"Alexander VolkovMarch 28, 1964"
Alexey Shved,2013,2015,G,6’6,190,"December 16, 1988",,"Alexey ShvedDecember 16, 1988"
Alexis Ajinça,2009,2017,C-F,7’2,248,"May 6, 1988",,"Alexis AjinçaMay 6, 1988"
Al-Farouq Aminu,2011,2021,F,6’8,220,September 21 1990,Wake Forest,Al-Farouq AminuSeptember 21 1990
Alfonzo McKinnie,2018,2022,F,6’7,215,September 17 1992,Green Bay,Alfonzo McKinnieSeptember 17 1992
Alfred McGuire,1952,1955,G-F,6’2,180,"September 7, 1928",St. John's,"Alfred McGuire*September 7, 1928"
Alfredrick Hughes,1986,1986,F-G,6’5,215,July 19 1962,Loyola Chicago,Alfredrick HughesJuly 19 1962
Alize Johnson,2019,2022,F,6’7,212,"April 22, 1996",Missouri State,"Alize JohnsonApril 22, 1996"
Allan Bristow,1974,1983,F-G,6’7,210,"August 23, 1951",Virginia Tech,"Allan BristowAugust 23, 1951"
Allan Houston,1994,2005,G,6’6,200,"April 20, 1971",Tennessee,"Allan HoustonApril 20, 1971"
Allan Ray,2007,2007,G,6’2,190,June 17 1984,Villanova,Allan RayJune 17 1984
Allen Crabbe,2014,2020,G-F,6’5,212,"April 9, 1992",California,"Allen CrabbeApril 9, 1992"
Allen Iverson,1997,2010,G,6’0,165,June 7 1975,Georgetown,Allen Iverson*June 7 1975
Allen Leavell,1980,1989,G,6’1,170,"May 27, 1957",Oklahoma City University,"Allen LeavellMay 27, 1957"
Allen Murphy,1976,1977,G,6’5,190,July 15 1952,Louisville,Allen MurphyJuly 15 1952
Allie McGuire,1974,1974,G,6’3,175,July 10 1951,Marquette,Allie McGuireJuly 10 1951
Allonzo Trier,2019,2020,G,6’4,200,"January 17, 1996",Arizona,"Allonzo TrierJanuary 17, 1996"
Alonzo Bradley,1978,1980,F,6’6,190,"October 16, 1953",Texas Southern,"Alonzo BradleyOctober 16, 1953"
Alonzo Gee,2010,2017,G,6’6,225,"May 29, 1987",Alabama,"Alonzo GeeMay 29, 1987"
Alonzo Mourning,1993,2008,C,6’10,240,"February 8, 1970",Georgetown,"Alonzo Mourning*February 8, 1970"
Alperen ?engün,2022,2022,F,6’9,235,July 25 2002,,Alperen ?engünJuly 25 2002
Alton Lister,1982,1998,C-F,7-0,240,"October 1, 1958",Arizona State,"Alton ListerOctober 1, 1958"
Alvan Adams,1976,1988,C-F,6’9,210,July 19 1954,Oklahoma,Alvan AdamsJuly 19 1954
Alvin Heggs,1996,1996,F,6’8,225,"December 12, 1967",Texas,"Alvin HeggsDecember 12, 1967"
Alvin Jones,2002,2002,C,6’11,265,"September 9, 1978",Georgia Tech,"Alvin JonesSeptember 9, 1978"
Alvin Robertson,1985,1996,G,6’4,185,July 22 1962,Arkansas,Alvin RobertsonJuly 22 1962
Alvin Scott,1978,1985,F-G,6’7,185,September 14 1955,Oral Roberts,Alvin ScottSeptember 14 1955
Alvin Sims,1999,1999,G,6’4,235,"October 18, 1974",Louisville,"Alvin SimsOctober 18, 1974"
Alvin Williams,1998,2007,G,6’5,185,"August 6, 1974",Villanova,"Alvin WilliamsAugust 6, 1974"
Amal McCaskill,1997,2004,F-C,6’11,235,"October 28, 1973",Marquette,"Amal McCaskillOctober 28, 1973"
Amar'e Stoudemire,2003,2016,F-C,6’10,245,"November 16, 1982",,"Amar'e StoudemireNovember 16, 1982"
Amida Brimah,2021,2021,C,6’10,230,"February 11, 1994",UConn,"Amida BrimahFebruary 11, 1994"
Amile Jefferson,2019,2020,F,6’9,222,"May 7, 1993",Duke,"Amile JeffersonMay 7, 1993"
Amir Coffey,2020,2022,G,6’7,210,June 17 1997,Minnesota,Amir CoffeyJune 17 1997
Amir Johnson,2006,2019,F-C,6’9,240,"May 1, 1987",,"Amir JohnsonMay 1, 1987"
Anderson Varejão,2005,2021,F-C,6’10,273,"September 28, 1982",,"Anderson VarejãoSeptember 28, 1982"
Andrae Patterson,1999,2000,F,6’9,238,"November 12, 1975",Indiana,"Andrae PattersonNovember 12, 1975"
Andray Blatche,2006,2014,F,6’11,235,"August 22, 1986",,"Andray BlatcheAugust 22, 1986"
Andre Barrett,2005,2008,G,5’10,172,"February 21, 1982",Seton Hall,"Andre BarrettFebruary 21, 1982"
Andre Brown,2007,2009,F,6’9,245,"May 12, 1981",DePaul,"Andre BrownMay 12, 1981"
Andre Dawkins,2015,2015,G,6’5,215,September 19 1991,Duke,Andre DawkinsSeptember 19 1991
Andre Drummond,2013,2022,C,6’10,279,"August 10, 1993",UConn,"Andre DrummondAugust 10, 1993"
Andre Emmett,2005,2012,F,6’5,230,"August 27, 1982",Texas Tech,"Andre EmmettAugust 27, 1982"
Andre Iguodala,2005,2022,G-F,6’6,215,"January 28, 1984",Arizona,"Andre IguodalaJanuary 28, 1984"
Andre Ingram,2018,2019,G,6’3,190,"November 19, 1985",American University,"Andre IngramNovember 19, 1985"
Andre McCarter,1977,1981,G,6’3,190,"August 25, 1953",UCLA,"Andre McCarterAugust 25, 1953"
Andre Miller,2000,2016,G,6’3,200,"March 19, 1976",Utah,"Andre MillerMarch 19, 1976"
Andre Moore,1988,1988,F,6’9,215,July 2 1964,Loyola Chicago,Andre MooreJuly 2 1964
Andre Owens,2006,2008,G,6’4,200,"October 31, 1980",Indiana Houston,"Andre OwensOctober 31, 1980"
Andre Roberson,2014,2021,G-F,6’7,210,"December 4, 1991",Colorado,"Andre RobersonDecember 4, 1991"
Andre Spencer,1993,1994,F,6’6,210,July 20 1964,Northern Arizona University,Andre SpencerJuly 20 1964
Andre Turner,1987,1992,G,5’11,160,"December 13, 1964",Memphis,"Andre TurnerDecember 13, 1964"
Andre Wakefield,1979,1980,G,6’3,175,"January 11, 1955",Loyola Chicago,"Andre WakefieldJanuary 11, 1955"
Andrea Bargnani,2007,2016,F-C,7-0,245,"October 26, 1985",,"Andrea BargnaniOctober 26, 1985"
Andreas Glyniadakis,2007,2007,C,7’1,280,"August 21, 1981",,"Andreas GlyniadakisAugust 21, 1981"
Andrei Kirilenko,2002,2015,F,6’9,220,"February 18, 1981",,"Andrei KirilenkoFebruary 18, 1981"
Andrés Guibert,1994,1995,F-C,6’10,225,"October 28, 1968",,"Andrés GuibertOctober 28, 1968"
Andrés Nocioni,2005,2012,F,6’7,225,"November 30, 1979",,"Andrés NocioniNovember 30, 1979"
Andrew Anderson,1968,1970,G,6’2,184,July 6 1945,Canisius,Andrew AndersonJuly 6 1945
Andrew Bogut,2006,2019,C,7-0,260,"November 28, 1984",Utah,"Andrew BogutNovember 28, 1984"
Andrew Bynum,2006,2014,C,7-0,285,"October 27, 1987",,"Andrew BynumOctober 27, 1987"
Andrew DeClercq,1996,2005,F-C,6’10,230,"February 1, 1973",Florida,"Andrew DeClercqFebruary 1, 1973"
Andrew Gaze,1994,1999,G,6’7,205,July 24 1965,Seton Hall,Andrew GazeJuly 24 1965
Andrew Goudelock,2012,2016,G,6’3,200,"December 7, 1988",College of Charleston,"Andrew GoudelockDecember 7, 1988"
Andrew Harrison,2017,2019,G,6’6,213,"October 28, 1994",Kentucky,"Andrew HarrisonOctober 28, 1994"
Andrew Lang,1989,2000,C,6’11,245,June 28 1966,Arkansas,Andrew LangJune 28 1966
Andrew Levane,1949,1953,F-G,6’2,190,"April 11, 1920",St. John's,"Andrew LevaneApril 11, 1920"
Andrew Nicholson,2013,2017,F,6’9,250,"December 8, 1989",St. Bonaventure,"Andrew NicholsonDecember 8, 1989"
Andrew Toney,1981,1988,G,6’3,178,"November 23, 1957",Louisiana,"Andrew ToneyNovember 23, 1957"
Andrew White,2018,2018,G,6’7,210,June 16 1993,Nebraska Syracuse,Andrew WhiteJune 16 1993
Andrew Wiggins,2015,2022,F-G,6’7,197,"February 23, 1995",Kansas,"Andrew WigginsFebruary 23, 1995"
Andris Biedri?š,2005,2014,C,6’11,240,"April 2, 1986",,"Andris Biedri?šApril 2, 1986"
Andy Duncan,1949,1951,F-C,6’6,195,"April 17, 1922",William & Mary,"Andy DuncanApril 17, 1922"
Andy Johnson,1959,1962,F-G,6’5,215,"November 8, 1932",University of Portland,"Andy JohnsonNovember 8, 1932"
Andy Kostecka,1949,1949,F,6’3,203,"February 10, 1921",Georgetown,"Andy KosteckaFebruary 10, 1921"
Andy O'Donnell,1950,1950,G,6’1,180,"March 10, 1925",Loyola (MD),"Andy O'DonnellMarch 10, 1925"
Andy Panko,2001,2001,F,6’9,222,"November 27, 1977",Lebanon Valley College,"Andy PankoNovember 27, 1977"
Andy Phillip,1948,1958,G-F,6’2,195,"March 7, 1922",Illinois,"Andy Phillip*March 7, 1922"
Andy Rautins,2011,2011,G,6’4,190,"November 2, 1986",Syracuse,"Andy RautinsNovember 2, 1986"
Andy Tonkovich,1949,1949,G,6’1,185,"November 1, 1922",Marshall,"Andy TonkovichNovember 1, 1922"
Andy Toolson,1991,1996,G-F,6’6,210,"January 19, 1966",BYU,"Andy ToolsonJanuary 19, 1966"
Andy Walker,1977,1977,G,6’4,190,"March 25, 1955",Niagara University,"Andy WalkerMarch 25, 1955"
Anfernee Hardaway,1994,2008,G-F,6’7,195,July 18 1971,Memphis,Anfernee HardawayJuly 18 1971
Anfernee Simons,2019,2022,G,6’3,181,June 8 1999,,Anfernee SimonsJune 8 1999
Ángel Delgado,2019,2019,C,6’10,245,"November 20, 1994",Seton Hall,"Ángel DelgadoNovember 20, 1994"
Angelo Musi,1947,1949,G,5’9,145,July 25 1918,Temple,Angelo MusiJuly 25 1918
Ansley Truitt,1973,1973,C,6’9,215,"August 24, 1950",California,"Ansley TruittAugust 24, 1950"
Ansu Sesay,2002,2005,F,6’9,225,July 29 1976,Ole Miss,Ansu SesayJuly 29 1976
Antawn Jamison,1999,2014,F,6’8,223,June 12 1976,UNC,Antawn JamisonJune 12 1976
Ante Žiži?,2018,2020,F-C,6’10,266,"January 4, 1997",,"Ante Žiži?January 4, 1997"
Anthony Avent,1993,2000,F,6’9,235,"October 18, 1969",Seton Hall,"Anthony AventOctober 18, 1969"
Anthony Bennett,2014,2017,F,6’8,245,"March 14, 1993",UNLV,"Anthony BennettMarch 14, 1993"
Anthony Bonner,1991,1996,F,6’8,215,June 8 1968,Saint Louis,Anthony BonnerJune 8 1968
Anthony Bowie,1989,1998,G-F,6’6,190,"November 9, 1963",Oklahoma,"Anthony BowieNovember 9, 1963"
Anthony Brown,2016,2018,F-G,6’7,210,"October 10, 1992",Stanford,"Anthony BrownOctober 10, 1992"
Anthony Carter,2000,2012,G,6’1,190,June 16 1975,Hawaii,Anthony CarterJune 16 1975
Anthony Cook,1991,1996,F-C,6’9,205,"March 19, 1967",Arizona,"Anthony CookMarch 19, 1967"
Anthony Davis,2013,2022,F-C,6’10,253,"March 11, 1993",Kentucky,"Anthony DavisMarch 11, 1993"
Anthony Edwards,2021,2022,G,6’4,225,"August 5, 2001",Georgia,"Anthony EdwardsAugust 5, 2001"
Anthony Gill,2021,2022,F,6’7,230,"October 17, 1992",South Carolina Virginia,"Anthony GillOctober 17, 1992"
Anthony Goldwire,1996,2006,G,6’1,182,"September 6, 1971",Houston,"Anthony GoldwireSeptember 6, 1971"
Anthony Grundy,2006,2006,G,6’3,180,"April 15, 1979",NC State,"Anthony GrundyApril 15, 1979"
Anthony Johnson,1998,2010,G,6’3,190,"October 2, 1974",College of Charleston,"Anthony JohnsonOctober 2, 1974"
Anthony Jones,1987,1990,G-F,6’6,195,September 13 1962,Georgetown UNLV,Anthony JonesSeptember 13 1962
Anthony Lamb,2021,2022,F,6’6,227,"January 20, 1998",University of Vermont,"Anthony LambJanuary 20, 1998"
Anthony Mason,1990,2003,F,6’7,250,"December 14, 1966",Tennessee State,"Anthony MasonDecember 14, 1966"
Anthony Miller,1995,2005,F,6’9,225,"October 22, 1971",Michigan State,"Anthony MillerOctober 22, 1971"
Anthony Morrow,2009,2017,G,6’5,210,"September 27, 1985",Georgia Tech,"Anthony MorrowSeptember 27, 1985"
Anthony Parker,1998,2012,G,6’6,215,June 19 1975,Bradley,Anthony ParkerJune 19 1975
Anthony Peeler,1993,2005,G,6’4,208,"November 25, 1969",Missouri,"Anthony PeelerNovember 25, 1969"
Anthony Pullard,1993,1993,F,6’10,245,June 23 1966,McNeese State University,Anthony PullardJune 23 1966
Anthony Randolph,2009,2014,F,6’10,205,July 15 1989,LSU,Anthony RandolphJuly 15 1989
Anthony Roberson,2006,2009,G,6’2,180,"February 14, 1983",Florida,"Anthony RobersonFebruary 14, 1983"
Anthony Roberts,1978,1984,F-G,6’5,185,"April 15, 1955",Oral Roberts,"Anthony RobertsApril 15, 1955"
Anthony Taylor,1989,1989,G,6’4,175,"November 30, 1965",Oregon,"Anthony TaylorNovember 30, 1965"
Anthony Tolliver,2009,2021,F-C,6’8,240,June 1 1985,Creighton,Anthony TolliverJune 1 1985
Anthony Tucker,1995,1995,F,6’8,220,"April 4, 1969",Georgetown Wake Forest,"Anthony TuckerApril 4, 1969"
Antoine Carr,1985,2000,F-C,6’9,225,July 23 1961,Wichita State,Antoine CarrJuly 23 1961
Antoine Rigaudeau,2003,2003,G,6’7,210,"December 17, 1971",,"Antoine RigaudeauDecember 17, 1971"
Antoine Walker,1997,2008,F,6’8,224,"August 12, 1976",Kentucky,"Antoine WalkerAugust 12, 1976"
Antoine Wright,2006,2011,G-F,6’7,210,"February 6, 1984",Texas A&M,"Antoine WrightFebruary 6, 1984"
Antonio Anderson,2010,2010,G,6’6,215,June 5 1985,Memphis,Antonio AndersonJune 5 1985
Antonio Blakeney,2018,2019,G,6’4,192,"October 4, 1996",LSU,"Antonio BlakeneyOctober 4, 1996"
Antonio Burks,2005,2006,G,6’1,200,"February 25, 1980",Memphis,"Antonio BurksFebruary 25, 1980"
Antonio Daniels,1998,2011,G,6’4,195,"March 19, 1975",Bowling Green,"Antonio DanielsMarch 19, 1975"
Antonio Davis,1994,2006,F-C,6’9,215,"October 31, 1968",Texas-El Paso,"Antonio DavisOctober 31, 1968"
Antonio Harvey,1994,2003,F-C,6’11,225,July 6 1970,Southern Illinois Georgia Pfeiffer University,Antonio HarveyJuly 6 1970
Antonio Lang,1995,2000,F-G,6’8,205,"May 15, 1972",Duke,"Antonio LangMay 15, 1972"
Antonio McDyess,1996,2011,F-C,6’9,220,"September 7, 1974",Alabama,"Antonio McDyessSeptember 7, 1974"
Antonius Cleveland,2018,2020,G,6’5,195,"February 2, 1994",SE Missouri State,"Antonius ClevelandFebruary 2, 1994"
Anžejs Pase??iks,2020,2021,C,7’1,229,"December 20, 1995",,"Anžejs Pase??iksDecember 20, 1995"
Archie Clark,1967,1976,G,6’2,175,July 15 1941,Minnesota,Archie ClarkJuly 15 1941
Archie Dees,1959,1962,F-C,6’8,205,"February 22, 1936",Indiana,"Archie DeesFebruary 22, 1936"
Archie Goodwin,2014,2017,G,6’5,200,"August 17, 1994",Kentucky,"Archie GoodwinAugust 17, 1994"
Ariel Maughan,1947,1951,F,6’4,190,"February 23, 1923",Utah State University,"Ariel MaughanFebruary 23, 1923"
Arinze Onuaku,2014,2017,C,6’9,255,July 13 1987,Syracuse,Arinze OnuakuJuly 13 1987
Armand Cure,1947,1947,F,6’0,198,"August 1, 1919",Rhode Island,"Armand CureAugust 1, 1919"
Armen Gilliam,1988,2000,F-C,6’9,230,"May 28, 1964",UNLV,"Armen GilliamMay 28, 1964"
Armon Johnson,2011,2012,G,6’3,195,"February 23, 1989",Nevada,"Armon JohnsonFebruary 23, 1989"
Armond Hill,1977,1984,G,6’4,190,"March 31, 1953",Princeton,"Armond HillMarch 31, 1953"
Armoni Brooks,2021,2022,G,6’3,195,June 5 1998,Houston,Armoni BrooksJune 5 1998
Arnett Moultrie,2013,2014,F,6’11,249,"November 18, 1990",Texas-El Paso Mississippi State,"Arnett MoultrieNovember 18, 1990"
Arnie Johnson,1949,1953,F-C,6’5,236,"May 16, 1920",Bemidji State University,"Arnie JohnsonMay 16, 1920"
Arnie Risen,1949,1958,C-F,6’9,200,"October 9, 1924",Ohio State,"Arnie Risen*October 9, 1924"
Arnoldas Kulboka,2022,2022,F,6’9,198,"January 4, 1998",,"Arnoldas KulbokaJanuary 4, 1998"
Aron Baynes,2013,2021,C,6’10,260,"December 9, 1986",Washington State,"Aron BaynesDecember 9, 1986"
Arron Afflalo,2008,2018,G-F,6’5,210,"October 15, 1985",UCLA,"Arron AfflaloOctober 15, 1985"
